num,license
6300,SV9154
6301,TW9859
6302,TX6430
6303,TW9791
6304,TW9885
6305,TX6358
6306,TX5933
6307,TX5957
6308,TX6122
6309,TX4929
6310,TZ7181
6311,TZ8340
6312,TZ8233
6313,TZ8457
6314,UA258
6315,TZ8572
6316,TZ9312
6317,TZ9251
6318,TZ8626
6319,TZ9596
6320,UA3546
6321,UA2892
6322,UA3985
6323,UA4294
6324,UA2522
6325,UB2689
6326,UB3771
6327,UB3195
6328,UB4407
6329,UB3843
6330,UB3708
6331,UB3709
6332,UB2799
6333,UB2766
6334,UB2664
6335,UB3334
6336,UB5401
6337,UB5932
6338,UB5842
6339,UB4859
6340,UB5082
6341,UB6163
6342,UB4621
6343,UB5509
6344,UB4930
6345,UB4930
6346,UB5067
6347,UB4697
6348,UB6356
6349,UB6404
6350,UB5562
6351,UB8143
6352,UB7827
6353,UD5164
6354,UD2164
6355,UD1669
6356,UC3445
6357,UC3211
6358,UC3752
6359,UC6127
6360,UC6215
6361,UC4602
6362,UC4591
6363,UC4562
6364,UC8369
6365,UC8409
6366,UD5482
6367,UD7351
6368,UD7394
6369,UD6884
6370,UD7622
6371,UD7005
6372,UD6473
6373,UD5258
6374,UE5340
6375,UE5568
6376,UE4647
6377,UE5181
6378,UE6220
6379,UE4574
6380,UE5937
6381,UG6620
6383,UG6722
6384,UG7286
6385,UM1073
6386,UM1993
6387,UM1955
6388,UM8483
6389,UM6569
6390,UM6575
6391,UM7983
6392,UM7107
6393,UM6514
6394,UM9809
6395,UM8943
6396,UN159
6397,UN7107
6398,UN7748
6399,UP196
6400,UN9516
6401,UP566
6402,US5023
6403,UT249
6404,UT524
6405,UU1204
6406,UT552
6407,UT3761
6408,UT6395
6409,UU548
6410,UU6342
6411,UU9515
6412,UV4243
6413,UV7730
6414,UY4643
6415,UY3354
6416,UY6063
6417,UY7792
6418,UZ1976
6419,UZ1580
6420,VA1426
6421,VA4427
6422,VA3681
6423,VA8145
6424,VA8222
6425,VA7363
6426,VA7521
6427,VB1087
6428,VB951
6429,VB8096
6430,VB7188
6431,VB9574
6432,VC140
6433,VC5631
6434,VC5896
6435,VC6129
6436,VC5365
6437,VE1034
6438,VC9016
6439,VD980
6440,VD4132
6441,VD5292
6442,VD5982
6443,VE1685
6444,VU1235
6445,VU6355
6446,VV357
6447,VU5142
6448,VU9112
6449,VV4673
6450,VW5350
6451,VW4730
6452,VX3179
6453,VP1703
6454,VP790
6455,VP9744
6456,VP9008
6457,VP9313
6458,VR8457
6459,VR7611
6460,WK680
6461,WK1020
6462,WK1890
6463,WK1544
6464,WK7560
6465,WK7242
6466,WK7473
6467,WK7374
6468,WL3951
6469,WL4279
6470,WL2507
6471,WL1378
6472,WL3694
6473,WP6139
6474,WR841
6475,WR815
6476,WR3123
6477,WR3073
6478,WR2986
6479,WR5356
6480,WR5535
6481,WR5126
6482,WR6941
6483,WR7564
6484,WR7096
6485,WS1113
6486,WR7503
6487,WS557
6488,WS2359
6489,WS2535
6490,WS2676
6491,WK1443
6492,WK6917
6493,VB9800
6494,WK6684
6495,VD980
6496,WP4996
6497,WP5191
6501,TY5065
6502,TY4840
6503,TY8493
6504,TY5363
6505,TY5910
6506,TY6451
6507,TZ319
6508,TY8975
6509,TZ7097
6510,TZ7642
6511,UA136
6512,UA3575
6513,UA3884
6514,UA7415
6515,UA7811
6516,UB4046
6517,UB5458
6518,UB5990
6519,UB5745
6520,UB8817
6521,UB8898
6522,UC3138
6523,UC6111
6524,UC5236
6525,UC6508
6526,UC8339
6527,UD1306
6528,UD3165
6529,UD7197
6530,UD7278
6531,UE6212
6532,UF3409
6533,UF6020
6534,UG2263
6535,UG2209
6536,UG5033
6537,UG8749
6538,UG9877
6539,UH2688
6540,UH5700
6541,UH7817
6542,UH8285
6543,UJ321
6544,UH9167
6545,UJ6437
6546,UJ5180
6547,UJ7882
6548,UK2213
6549,UK8509
6550,UN7052
6551,UN9916
6552,UN9860
6553,UP215
6554,UP1711
6555,UP3129
6556,UP6674
6557,UP7174
6558,UP9460
6559,UP9242
6560,UR2340
6561,UR186
6562,UR2714
6563,UR3747
6564,UR3587
6565,UR3708
6566,UR8193
6567,UR7543
6568,UT591
6569,VF7957
6570,VF7438
6571,VF9038
6572,VG3200
6573,VF6731
6574,VG3496
6575,VH4627
6576,VK8258
6577,VK8180
6578,VK6835
6579,VK6550
6580,VR6793
6581,VR7479
6582,VS3529
6583,VS2933
6584,VT8142
6585,VT8309
6586,VT7225
6587,VT6811
6588,VT8444
6800,UM5319
6801,UM8127
6802,UN1063
6803,UN524
6804,UM8495
